Auteur	Titre	Date	Genre	Citation	parjure	serment	promesse	engagement	pacte	gage	foi	voeu	parole	traitre	alliance	caution	garantie	contrat	traité	Somme oeuvre
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	Faut être ben traître pour venir encore embrasser les gens.										1						
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	Ciel, mon cher zamant, ne vous exposez pas à la trahison d'un traître.										1						
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	Le contrat, la noce et les violons sont commandés : si vous voulez me la donner en mariage, il n'y a que faire ne rien renvoyer, je payerai tout.														1		
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	Et moi, madame Savon, en chemin faisant, je m'en vais passer chez le notaire et lui dire d'apporter le contrat.														1		
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	Madame, le contrat était tout fait dès tantôt, il n'y avait plus que les noms à remplir ; si vous voulez me les dicter...														1		
DURANT, Catherine	À LAVER LA TÊTE D'ÂNE ON Y PERD SA LESSIVE	1699	Proverbe	Sans doute, vous avez vu la fable de cet homme qui promettait de faire parler un âne dans un pareil nombre d'années ; et vous espérez comme lui la mort d'un de nous trois : c'est ce qui vous fait hasarder une promesse si téméraire.			1													
DURANT, Catherine	À LAVER LA TÊTE D'ÂNE ON Y PERD SA LESSIVE	1699	Proverbe	Vous jugez bien, Monsieur, qu'il n'y a pas moyen de prendre un engagement sérieux avec Monsieur le Vicomte.				1												
DURANT, Catherine	À LAVER LA TÊTE D'ÂNE ON Y PERD SA LESSIVE	1699	Proverbe	Si elle ne me réussit pas mieux que les autres, je vous prierai de me rendre ma parole.									1							
DURANT, Catherine	À LAVER LA TÊTE D'ÂNE ON Y PERD SA LESSIVE	1699	Proverbe	Fils indigne d'un père tel que moi ; mes soins, mon exemple, mes voeux, tes maîtres, de beaux yeux, rien ne peut tirer une parole sensée de ta bouche ni un sentiment noble de ton cour !									1							
DURANT, Catherine	À LAVER LA TÊTE D'ÂNE ON Y PERD SA LESSIVE	1699	Proverbe	Les volontés d'un père mourant doivent passer pour des lois : le mien avait pour vous, Monsieur, une amitié si sincère, qu'il ne consulta point mon choix ; et trop content de faire une alliance avec vous, il me promit à monsieur votre fils, sans oser douter de son mérite, parce qu'il avait l'honneur de vous appartenir.											1					
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	Puis m'as donné, ensuyvant ta promesse,			1													
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	La promesse de Dieu me donne.			1													
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	Mon Dieu, tes promesses m'assurent :			1													
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	Mais je suis sûr que de Dieu la promesse			1													
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	Par vive foi, le nom est immortel.							1									
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	Mais qui plus est, par le foi surmontées.							1									
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	Par la bonté de Dieu, ha la foi telle,							1									
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	Or voyez vous de foi la grand' puissance							1									
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	Remet en dieu et foi et ses affaires,							1									
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	La vive foi de ce saint personnage.							1									
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	Jamais de dieu la parole n'est vaine.									1							
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	Vrai est qu'il a du vrai Dieu l'alliance,											1					
BEZE, Théodore de	ABRAHAM SACRIFIANT	1550	Tragédie	Isaac tué, l'alliance est défaite.											1					
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	M'en croirez-vous, Seigneur ? Qu'un serment solennel		1														
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Je me lie au serment que vous avez dicté :		1														
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Quelle horreur me saisit ! Quel serment a-t-il fait !		1														
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Un horrible serment vous proscris et le lie.		1														
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Ô funeste serment ! Ô Tharès ! Ô ma fille !		1														
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	D'un injuste serment victime infortunée,		1														
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	De votre serment même exécutant la loi,		1														
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Du serment de David victimes déplorables,		1														
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Un rigoureux serment a-t-il proscrit ma mère ?		1														
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Vous savez quel serment vous lie à ma colère.		1														
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	C'est peu que mon serment ait réglé votre sort,		1														
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Libre de mon serment, je vous rends à la vie.		1														
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Allez voir quels effets ont suivi ses promesses ;			1													
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Du règne de David sa parole est le gage.						1										
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Voire père en ces lieux à ma foi s'abandonne.							1									
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Ne vous a mieux prouvé son courage et sa foi,							1									
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Par un récit trompeur imposer à sa foi ;							1									
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Je veux douter encor qu'il m'ait manqué de foi.							1									
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Peut-être par un voeu terrible, irrévocable,								1								
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Du règne de David sa parole est le gage.									1							
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	J'ai reçu sa parole, et j'ai donné la mienne,									1							
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	J'ai dit qu'un confident, ou traître ou peu discret,										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	N'en doutez point, Seigneur, un traître est parmi nous.										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Dites-lui qu'il s'assure au plus tôt de ce traître :										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Allons, et que le traître au milieu...										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Mais sait-on s'il n'est point de traître parmi nous ?										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Si quelque traître ici se cache pour me nuire,										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Nous connaissons enfin le perfide, le traître,										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Mais quel traître avec lui serait d'intelligence ?										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Et si contre vos jours la rage anime un traître,										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Le traître Achitophel conduisait l'artifice.										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Traître ! Le pouvaient-ils sans la mort de ton père ?										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Le traître Acbitophel a commis tout le reste.										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Mais il faut me livrer un traître qui te joue,										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Le traître Achitophel va périr sous mes coups.										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Le traître!										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Le perfide Amasa, le traître Achitophel										1						
DUCHE de VANCY, Joseph-François	ABSALON	1702	Tragédie	Qu'au traître Achitophel, ou plutôt qu'à mon crime.										1						
LA FONTAINE, Jean de	ACHILLE	1683	Tragédie	C'est à moi d'avoir soin qu'il tienne son serment.		1														
LA FONTAINE, Jean de	ACHILLE	1683	Tragédie	C'est moi qui suis lié par les noeuds du serment.		1														
LA FONTAINE, Jean de	ACHILLE	1683	Tragédie	J'aurai devant les yeux ce serment et vos charmes.		1														
LA FONTAINE, Jean de	ACHILLE	1683	Tragédie	Quelque fierté qu'on ait, quelque serment qu'on fasse,		1														
LA FONTAINE, Jean de	ACHILLE	1683	Tragédie	Vos promesses, Seigneur, et cet excès de gloire			1													
LA FONTAINE, Jean de	ACHILLE	1683	Tragédie	Pour gage des douceurs d'un fidèle hyménée.						1										
LA FONTAINE, Jean de	ACHILLE	1683	Tragédie	Croyez qu'un demi-dieu vous peut garder sa foi							1									
CAMPISTRON, Jean Galbert de	ACHILLE ET POLIXÈNE	1688	Tragédie en musique	Dois-je un serment pour ne le pas tenir ?		1														
CAMPISTRON, Jean Galbert de	ACHILLE ET POLIXÈNE	1688	Tragédie en musique	De l'effet de ma promesse.			1													
CAMPISTRON, Jean Galbert de	ACHILLE ET POLIXÈNE	1688	Tragédie en musique	Ah ! Junon, est-ce ainsi que tu tiens ta promesse ?			1													
CAMPISTRON, Jean Galbert de	ACHILLE ET POLIXÈNE	1688	Tragédie en musique	Que la raison vous dégage						1										
CAMPISTRON, Jean Galbert de	ACHILLE ET POLIXÈNE	1688	Tragédie en musique	Les grecs vous ont donné leur foi							1									
CAMPISTRON, Jean Galbert de	ACHILLE ET POLIXÈNE	1688	Tragédie en musique	Mais je n'ai pu le croire, et soupçonner ta foi,							1									
CAMPISTRON, Jean Galbert de	ACHILLE ET POLIXÈNE	1688	Tragédie en musique	Le don de votre coeur suivra-t-il de votre foi ?							1									
CAMPISTRON, Jean Galbert de	ACHILLE ET POLIXÈNE	1688	Tragédie en musique	Quoi ? Le traître Pâris est l'auteur de sa mort.										1						
CAMPISTRON, Jean Galbert de	ACIS ET GALATÉE	1686	Pastorale héroïque	Depuis le jour que sur votre promesse			1													
CAMPISTRON, Jean Galbert de	ACIS ET GALATÉE	1686	Pastorale héroïque	Par une agréable promesse.			1													
CAMPISTRON, Jean Galbert de	ACIS ET GALATÉE	1686	Pastorale héroïque	Je puis donner ma foi par l'aveu de mon père,							1									
CAMPISTRON, Jean Galbert de	ACIS ET GALATÉE	1686	Pastorale héroïque	Peut-on sans son aveu me demander ma foi ?							1									
CAMPISTRON, Jean Galbert de	ACIS ET GALATÉE	1686	Pastorale héroïque	Traître, reçois le prix de ta témérité.										1						
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	Gage de ma puissance, ô brûlant diadème,						1										
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	T'offre comme un parfum notre foi conjugale.							1									
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	Et qu'unique soutien d'une indolente foi,							1									
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	Et trop tyrannisé par ma confiante foi,							1									
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	Au nom de cet amour, au nom de cette foi,							1									
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	Fait entendre à son Fils sa parole sacrée.									1							
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	Doué de la parole et du raisonnement !									1							
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	La Parole aussitôt devint mon apanage									1							
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	Quel que soit l'antre obscur où se cache le traître,										1						
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	Traître, te voilà donc ! Eh comment oses-tu										1						
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	Sais-tu, traître, sais-tu, quelle est la servitude ?										1						
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	Ils ne sauraient souffrir la présence d'un traître.										1						
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	Oui, si nous révoltant, à l'exemple d'un traître,										1						
TANEVOT, Alexandre	ADAM ET EVE	1752	Tragédie	Du mont de l'Alliance atteint déjà le faîte :											1					
GARNIER, Thomas	ADÉLAÏDE	1785	Proverbe	Une promesse de cent pistoles est tentante, n'est-ce pas, Mademoiselle Justine ?			1													
GARNIER, Thomas	ADÉLAÏDE	1785	Proverbe	Ne pouvais-je renoncer à Dorval sans prendre d'autres engagements ?				1												
GARNIER, Thomas	ADÉLAÏDE	1785	Proverbe	Ma foi non.							1									
GARNIER, Thomas	ADÉLAÏDE	1785	Proverbe	Oui, monsieur ; ses grands biens répondent à sa naissance, je ne doute pas que ma tante n'approuve cette alliance.											1					
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Eh bien ! C'en est donc fait ! L'ingrate, la parjure,	1															
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Le voilà cet ingrat qui, fier de son parjure,	1															
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Vos prières, vos pleurs, en faveur d'un parjure,	1															
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	L'Anglais attend de moi la tête du parjure.	1															
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Ose encor démentir la foi de vos promesses.			1													
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Je suis plus enchaîné par ma seule promesse			1													
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Trouvera des amis qui tiendront leur promesse ;			1													
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Sachez que si ma foi dans Lille me ramène,							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Et vous pouviez cacher ce secret à ma foi ?							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Ses lettres autrefois, chers gages de sa foi,							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Ose encor démentir la foi de vos promesses.							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Je ne vous promis rien : vous n'avez point ma foi ;							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	De conserver la foi d'un coeur que vous m'ôtez !							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Vous avez regardé ma liberté, ma foi,							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Ciel ! À ce piège affreux ma foi serait livrée !							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	À la face des cieux je lui donne ma foi ;							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Prisonnier sur ma foi, dans l'horreur qui me presse.							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Inutiles garants d'une foi si sacrée,							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Du peuple fatigué fait chanceler la foi.							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Dans de pareils moments, vous éprouviez la foi.							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Puisqu'à ravir ma foi votre haine obstinée							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Mais vous voulez ma foi, ma foi doit vous suffire.							1									
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Soyez mon prisonnier, mais sur votre parole ;									1							
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Mais je tiendrai parole, et je vais vous servir.									1							
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Arrête : épargne-moi l'infâme nom de traître ;										1						
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Traître, c'en est assez.										1						
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Vous, veillez sur ce traître.										1						
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Tu crains de me répondre ! Attends-tu que le traître										1						
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Non, je parle d'un traître et d'un lâche ennemi,										1						
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Je n'approuvai jamais la fatale alliance											1					
VOLTAIRE	ADÉLAÏDE DU GUESCLIN	1766	Tragédie	Oui, j'aime avec fureur une telle alliance											1					
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Ils exigent ta mort, parjure, et je leur cède.	1															
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Tel fut ce grand serment ; et d'un commun accord,		1														
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Libre de son serment, et quitte envers les dieux,		1														
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Il exigea de moi cette sainte promesse :			1													
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Garde jusqu'à la fin ta fatale promesse :			1													
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Puisse-t-il dignement dégager ma promesse !			1													
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Madame, au nom des Dieux, confiez à ma foi							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Je savais ses projets, sa foi m'était connue :							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Je n'eus plus ni respect, ni foi pour tous vos Dieux.							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Se borne à lui donner la foi que j'ai suivie,							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Ne perdez point de temps. Vos soins, et votre foi							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Vous, qui dans votre Foi dès longtemps confirmé,							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Mes amis à la Foi chaque jour appelés,							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Croiraient-ils ou mon zèle ou ma foi légitime							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Je parlerai ; ma foi ne sera plus cachée.							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Adieu. Puisse mon sang fortifier la Foi							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Quel Ministre a reçu la foi que j'ai donnée ?							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Et lui donnant la foi dont ton esprit m'anime,							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Étouffe dans mon sang la foi que je professe ;							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Rendez-moi cette foi que vous m'avez jurée.							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Dans leur foi chancelante ils les ont confirmés ;							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	De la foi qui nous guide ai reçu la lumière.							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	De conserver pour vous la foi la plus sincère ;							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	J'ai besoin d'une foi plus pure et plus ardente,							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Adieu. Ma foi s'assure et croît à tous moments.							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Quel malheur si sa foi pouvait être affaiblie !							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Que je manque à la Foi que L'Esprit Saint m'inspire,							1									
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Hâtons-nous d'accomplir un voeu fait à nos dieux.								1								
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Retarder d'un moment le voeu que je t'en fais.								1								
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Fondé sur ta parole, il se flatte aujourd'hui,									1							
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Qu'on l'immole, le traître, à ses lois légitimes ;										1						
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Que nos dieux font vengés, et que le traître expire.										1						
CAMPISTRON, Jean Galbert de	ADRIEN	1683	Tragédie	Qu'il reçoive à mes yeux le salaire d'un traître.										1						
CAMPISTRON, Jean Galbert de	AÉTIUS	1685	Tragédie	Daignez le recevoir comme un gage certain						1										
CAMPISTRON, Jean Galbert de	AÉTIUS	1685	Tragédie	Me fîtes confier mes soupirs à sa foi,							1									
CAMPISTRON, Jean Galbert de	AÉTIUS	1685	Tragédie	Craignez-vous de fier ce secret à ma foi ?							1									
CAMPISTRON, Jean Galbert de	AÉTIUS	1685	Tragédie	Approche, cher Léon, viens partager ma foi !							1									
CAMPISTRON, Jean Galbert de	AÉTIUS	1685	Tragédie	Blessé votre devoir, ni trahi votre foi.							1									
CAMPISTRON, Jean Galbert de	AÉTIUS	1685	Tragédie	Seigneur, vous commencez à douter de ma foi.							1									
CAMPISTRON, Jean Galbert de	AÉTIUS	1685	Tragédie	Ah ! mon dessein n'est pas soupçonner ta foi.							1									
CAMPISTRON, Jean Galbert de	AÉTIUS	1685	Tragédie	Que rarement le ciel prend le parti d'un traître.										1						
CAMPISTRON, Jean Galbert de	AÉTIUS	1685	Tragédie	Le traître Aétius...										1						
CAMPISTRON, Jean Galbert de	AÉTIUS	1685	Tragédie	C'est à toi d'accabler le traître sous tes coups,										1						
CAMPISTRON, Jean Galbert de	AÉTIUS	1685	Tragédie	Et pour le prévenir, le traître, en ce moment,										1						
BOYER, Claude	AGAMEMNON	1680	Tragédie	Dégage heureusement un époux malheureux !						1										
BOYER, Claude	AGAMEMNON	1680	Tragédie	Il aimait Briséis, il me manquait de foi.							1									
BOYER, Claude	AGAMEMNON	1680	Tragédie	Est-ce la foi constante et cette douleur tendre							1									
BOYER, Claude	AGAMEMNON	1680	Tragédie	Si mon respect, ma tendresse, ma foi,							1									
BOYER, Claude	AGAMEMNON	1680	Tragédie	J'assurais à la Reine et mon coeur et ma foi.							1									
BOYER, Claude	AGAMEMNON	1680	Tragédie	J'aime Cassandre enfin : Elle a mon coeur, ma foi.							1									
BOYER, Claude	AGAMEMNON	1680	Tragédie	À cet Hymen pour vous engage nôtre foi.							1									
BOYER, Claude	AGAMEMNON	1680	Tragédie	Lui demander pour vous et cette même foi							1									
BOYER, Claude	AGAMEMNON	1680	Tragédie	Le succès de mes voeux et le don de sa foi.							1									
BOYER, Claude	AGAMEMNON	1680	Tragédie	Mais depuis quand, comment ce traître dans son sein										1						
BOYER, Claude	AGAMEMNON	1680	Tragédie	Percé le traître Egisthe aux pieds de nos autels.										1						
SÉNÈQUE	AGAMEMNON	1863	Tragédie	Tu as détruit la cité du parjure Dardanus ; tu lui as fait sentir la puissance de ces flèches qu'elle devait éprouver encore une seconde fois ; tu l'as renversée en autant de jours qu'il nous a fallu d'années pour la détruire.	1															
SÉNÈQUE	AGAMEMNON	1863	Tragédie	Mon époux a-t-il tenu ses promesses ?			1													
SÉNÈQUE	AGAMEMNON	1863	Tragédie	Toi, dont la victoire a rendu la paix au monde, Apollon,détends ton arc, et dégage tes épaules de ton carquois rempli de flèches rapides.						1										
SÉNÈQUE	AGAMEMNON	1863	Tragédie	A peine il se dégage, qu'un autre vient le heurter par derrière, et le brise en se brisant lui-même.						1										
SÉNÈQUE	AGAMEMNON	1863	Tragédie	La justice, l'honneur, la foi sacrée des époux s'exilent des cours.							1									
SÉNÈQUE	AGAMEMNON	1863	Tragédie	Le temps n'est plus où tu pouvais garder la foi conjugale, et conserver le sceptre pur en l'absence de ton époux, Honneur, vertu, devoir, tendresse et fidélité, tu as tout sacrifié, ainsi que la pudeur qui, une fois bannie, ne revient plus.							1									
SÉNÈQUE	AGAMEMNON	1863	Tragédie	Croyez-vous pouvoir compter sur la foi de votre époux ?							1									
SÉNÈQUE	AGAMEMNON	1863	Tragédie	Il est une eau basse à fond perfide et plein de rochers que le traître Capharée cache dans les gouffres qu'il domine.										1						
ESCHYLE	AGAMEMNON	1872	Tragédie	Les Dieux ont juré un grand serment, qu?il serait ramené par la chute de son père qui gît égorgé.		1														
ESCHYLE	AGAMEMNON	1872	Tragédie	Écoute ce serment sacré : Par la juste vengeance de ma fille, par Atè, par Érinnys, à qui j?ai offert le sang de cet homme, je ne crains pas d?entrer jamais dans la maison de la terreur, aussi longtemps qu?Aigisthos, qui m?aime, allumera le feu de mon foyer, comme il l?a fait déjà avant ce jour.		1														
